Szer_geo,Dlug_geo,Numer_slupka,Nazwa_zespolu,Wartosc_zespolu
51.921869,21.019657,01,Pieczyska,3954
51.934773,21.013276,02,Zadębie,3955
51.935408,21.012922,01,Zadębie,3955
51.938106,21.177233,02,Linin,3778
51.938129,21.176928,01,Linin,3778
51.938868,21.198636,01,Linin-Osiedle,3777
51.939048,21.199372,02,Linin-Osiedle,3777
51.940214,20.956547,03,Urząd Gminy,3894
51.940664,20.954634,02,Urząd Gminy,3894
51.940752,21.166118,02,Wincentów I,3779
51.940756,20.961221,01,Czołchańskiego,3893
51.940778,20.962088,02,Czołchańskiego,3893
51.940895,21.165721,01,Wincentów I,3779
51.942107,20.979428,01,Leśna,3989
51.942905,20.986569,01,Czarnej Olchy,3709
51.942986,21.154854,02,Wincentów II,3780
51.943033,21.154763,01,Wincentów II,3780
51.943191,21.034942,02,Nowe Wągrodno,3978
51.943482,21.011799,02,Jarzębinowa,3972
51.943763,21.212931,01,Szpruch,3776
51.944308,20.989718,02,Działkowa,3892
51.944403,20.990264,01,Działkowa,3892
51.944479,21.212978,02,Szpruch,3776
51.944549,21.012139,01,Jarzębinowa,3972
51.945100,21.035480,01,Nowe Wągrodno,3978
51.945261,20.951367,02,Ostapowicza,3973
51.945854,20.999584,01,Północna,3891
51.945864,20.999811,02,Północna,3891
51.946645,21.154736,02,Wspólna,3781
51.946789,21.068439,02,Główna,3483
51.946870,21.068277,01,Główna,3483
51.946957,21.154792,01,Wspólna,3781
51.947230,21.074440,01,Ławki,3478
51.947860,21.076600,02,Ławki,3478
51.948563,21.016158,03,Ogrodowa,3890
51.948595,21.054252,02,Biały Ług,3704
51.948640,21.053941,01,Biały Ług,3704
51.948866,21.017678,04,Ogrodowa,3890
51.948906,21.137742,01,Czaplinek I,3785
51.948963,21.137231,02,Czaplinek I,3785
51.949052,21.139599,04,Czaplinek I,3785
51.949224,21.017102,01,Ogrodowa,3890
51.949420,21.067340,03,Zagórna,3705
51.949579,21.038020,02,Wierzbowa,3979
51.949705,21.066848,02,Zagórna,3705
51.949770,21.067745,01,Zagórna,3705
51.949786,21.017945,02,Ogrodowa,3890
51.950302,20.947747,02,Zawodne,3974
51.951400,21.083660,01,Polna,3479
51.951690,21.083630,02,Polna,3479
51.952096,21.156669,02,Czaplin,3968
51.952532,21.040708,03,Główna,3703
51.952600,21.156811,01,Czaplin,3968
51.952687,21.115643,02,Obręb,3959
51.952708,21.041207,01,Główna,3703
51.952779,21.115688,01,Obręb,3959
51.953588,21.075712,02,Dobra,3706
51.953710,21.096877,02,Julianów,3759
51.953723,21.096734,01,Julianów,3759
51.953930,21.075720,01,Dobra,3706
51.954391,21.213160,01,Przyborowie,3775
51.954500,21.213222,02,Przyborowie,3775
51.954991,21.107891,01,Obręb II,3760
